deal_id,sub_code,deal_name,status,fy,period,company,instrument_type,underlying,psl_npsl,investor_name,trustee_ar,trustee,ratio,borrowing_date,payout_date,mclr_linked_or_fixed,mclr_on_deal_date,spread,deal_roi,servicing_fee_pct,net_roi,no_of_pool_contracts,amount_securitised_deal_date,purchase_consideration_deal_date,rating,loss_estimation_rating,first_loss_facility_pct,overcollateral_pct,tranche,credit_enhancement_type,credit_enhancement_initial_amount,mrr_percent,stated_tenor_months,underlying_seasoning_months,true_sale_criteria_met,true_sale_assumption_note,processing_fees_paid,documentation_charges,external_ca_fees,legal_documentation_fees,rating_fees,trustee_fees_pa,arranger_fees
D0053,,Indian-LAP-D0053,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,LAP,NPSL,Indian Overseas Bank,Catalyst Trusteeship,IDBI Trusteeship,0.9475,2025-12-22,2026-01-22,MCLR Linked,8.55,2.57,11.12,1.0909,9.8251,24338,159.36,156.46,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,48,10,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.13,0.46,0.34,0.32,0.16,0.4
D0054,,Punjab-Gold-D0054,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,Gold,NPSL,Punjab and Sind Bank,Vistra ITCL,Catalyst Trusteeship,0.9097,2025-02-26,2025-03-26,MCLR Linked,8.35,2.71,11.06,0.8983,9.9044,5824,124.87,120.24,AA(SO),AA(SO),0.0,0.0493,Senior,Overcollateralization,6.16,0.05,10,3,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.12,0.18,0.27,0.17,0.2,0.12,0.31
D0055,,AU-SME-D0055,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,SME,NPSL,AU Small Finance Bank,Axis Trustee,Vistra ITCL,0.9457,2024-05-19,2024-06-19,Fixed,7.95,1.54,9.49,1.1895,8.4569,7181,155.29,147.36,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.1,25,14,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.16,0.37,0.36,0.5,0.2,0.39
D0056,,Central-BL-D0056,Active,FY25,FY25 Q3,IIFL Finance Limited,DA,BL,NPSL,Central Bank of India,IDBI Trusteeship,Vistra ITCL,0.8542,2024-11-09,2024-12-09,Fixed,6.56,3.45,10.01,1.933,9.431,23117,273.34,264.96,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,16,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.27,0.39,0.63,0.58,0.56,0.36,0.68
D0057,,RBL-BL-D0057,Active,FY25,FY25 Q2,IIFL Finance Limited,DA,BL,NPSL,RBL Bank,Vistra ITCL,Vistra ITCL,0.9146,2024-07-20,2024-08-20,MCLR Linked,8.48,1.6,10.08,1.8619,9.4905,14043,228.71,211.25,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,14,10,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.23,0.25,0.47,0.48,0.88,0.32,0.57
D0058,,AU-LAP-D0058,Active,FY25,FY25 Q1,IIFL Finance Limited,PTC,LAP,NPSL,AU Small Finance Bank,IDBI Trusteeship,Axis Trustee,0.9148,2024-05-27,2024-06-27,Fixed,7.86,3.37,11.23,1.5779,10.7159,19110,308.71,284.21,AA(SO),AA(SO),0.0,0.0,Senior,None,0.0,0.05,44,3,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.31,0.26,0.49,0.62,0.61,0.34,0.77
D0059,,UCO-LAP-D0059,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,LAP,PSL,UCO Bank,Catalyst Trusteeship,Axis Trustee,0.8807,2025-04-22,2025-05-22,Fixed,5.97,3.46,9.43,1.1081,8.4275,9045,123.41,115.68,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.1,72,16,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.12,0.17,0.3,0.18,0.22,0.17,0.31
D0060,,Indian-MFI-D0060,Closed,FY25,FY25 Q2,IIFL Finance Limited,DA,MFI,PSL,Indian Overseas Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.9329,2024-08-16,2024-09-16,Fixed,9.65,2.71,12.36,1.8543,11.6578,18113,250.15,246.12,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,24,10,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.25,0.26,0.33,0.57,0.65,0.3,0.63
D0061,,UCO-Gold-D0061,Closed,FY25,FY25 Q1,IIFL Finance Limited,DA,Gold,PSL,UCO Bank,Axis Trustee,Catalyst Trusteeship,0.8787,2024-05-15,2024-06-15,Fixed,8.24,2.63,10.87,0.77,10.2346,1213,240.38,226.34,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,8,11,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.24,0.27,0.59,0.59,0.59,0.33,0.6
D0062,,Federal-LAP-D0062,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,LAP,PSL,Federal Bank,IDBI Trusteeship,Axis Trustee,0.8846,2026-01-28,2026-02-28,Fixed,8.62,2.81,11.43,0.9135,9.9926,13379,54.74,54.17,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,55,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.07,0.07,0.12,0.14,0.07,0.14
D0063,,Karur-SME-D0063,Active,FY26,FY26 Q3,IIFL Finance Limited,PTC,SME,NPSL,Karur Vysya Bank,IDBI Trusteeship,IDBI Trusteeship,0.8914,2025-11-02,2025-12-02,MCLR Linked,8.17,2.84,11.01,0.9127,9.9533,14883,96.99,89.53,AAA(SO),AAA(SO),0.0,0.0,Senior,None,0.0,0.05,42,16,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.1,0.11,0.24,0.12,0.31,0.1,0.24
D0064,,DCB-MFI-D0064,Active,FY27,FY27 Q1,IIFL Finance Limited,PTC,MFI,NPSL,DCB Bank,Vistra ITCL,Catalyst Trusteeship,0.9036,2026-05-17,2026-06-17,MCLR Linked,8.1,2.33,10.43,1.7441,9.8785,18126,4.46,4.25,AA(SO),AA(SO),0.0,0.0,Subordinate,Cash Collateral,0.23,0.05,18,6,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.0,0.0,0.01,0.0,0.01,0.01,0.01
D0065,,Karur-LAP-D0065,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,LAP,NPSL,Karur Vysya Bank,IDBI Trusteeship,Vistra ITCL,0.8813,2025-02-10,2025-03-10,MCLR Linked,5.7,3.37,9.07,0.5686,7.7059,8449,14.25,13.88,A+(SO),A+(SO),0.0,0.0563,Subordinate,Overcollateralization,0.8,0.05,52,13,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.01,0.02,0.01,0.03,0.04,0.02,0.04
D0066,,Karur-SME-D0066,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,SME,PSL,Karur Vysya Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.9264,2025-04-19,2025-05-19,Fixed,10.25,2.5,12.75,1.1186,11.4075,24209,101.2,98.92,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,28,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.1,0.07,0.24,0.1,0.28,0.09,0.25
D0067,,Central-HCF-D0067,Active,FY26,FY26 Q2,IIFL Samasta Finance,DA,HCF,NPSL,Central Bank of India,Axis Trustee,Catalyst Trusteeship,0.8873,2025-09-18,2025-10-18,Fixed,9.32,1.53,10.85,1.109,9.785,16956,194.47,182.82,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,57,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.19,0.29,0.28,0.39,0.7,0.22,0.49
D0068,,Federal-Gold-D0068,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,Gold,PSL,Federal Bank,IDBI Trusteeship,Vistra ITCL,0.8516,2025-09-16,2025-10-16,MCLR Linked,7.73,1.52,9.25,0.8107,8.6058,21632,23.06,21.59,AAA(SO),AAA(SO),0.0,0.0,Subordinate,None,0.0,0.1,8,4,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.02,0.03,0.06,0.06,0.05,0.02,0.06
D0069,,UCO-HCF-D0069,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,HCF,NPSL,UCO Bank,Axis Trustee,IDBI Trusteeship,0.8856,2026-04-24,2026-05-24,MCLR Linked,6.15,3.48,9.63,1.9117,8.6982,2259,182.77,180.61,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,73,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.18,0.22,0.42,0.21,0.56,0.24,0.46
D0070,,South-Gold-D0070,Active,FY26,FY26 Q4,IIFL Finance Limited,PTC,Gold,NPSL,South Indian Bank,Catalyst Trusteeship,Vistra ITCL,0.8914,2026-02-26,2026-03-26,Fixed,8.87,2.98,11.85,1.6688,10.6252,10601,135.83,125.83,AAA(SO),AAA(SO),0.0,0.0,Senior,Cash Collateral,7.12,0.05,6,11,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.14,0.14,0.41,0.19,0.38,0.16,0.34
D0071,,South-SME-D0071,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,SME,PSL,South Indian Bank,Vistra ITCL,Vistra ITCL,0.9103,2025-07-05,2025-08-05,Fixed,6.91,2.37,9.28,1.5429,8.301,12333,115.42,112.51,A+(SO),A+(SO),0.0,0.0,Senior,Cash Collateral,4.07,0.05,43,11,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.12,0.08,0.21,0.17,0.39,0.13,0.29
D0072,,Federal-MFI-D0072,Active,FY27,FY27 Q1,IIFL Finance Limited,PTC,MFI,PSL,Federal Bank,Vistra ITCL,IDBI Trusteeship,0.9215,2026-05-13,2026-06-13,MCLR Linked,7.28,3.36,10.64,1.6836,10.066,22838,6.03,5.88,A+(SO),A+(SO),0.0991,0.0,Subordinate,First Loss Guarantee,0.6,0.05,24,10,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.01,0.01,0.01,0.01,0.02,0.01,0.02
D0073,,Punjab-BL-D0073,Active,FY25,FY25 Q4,IIFL Finance Limited,DA,BL,PSL,Punjab and Sind Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.8759,2025-03-23,2025-04-23,MCLR Linked,8.64,2.78,11.42,1.266,10.4012,22280,51.64,48.41,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,22,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.06,0.11,0.09,0.13,0.07,0.13
D0074,,Punjab-MFI-D0074,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,MFI,PSL,Punjab and Sind Bank,IDBI Trusteeship,IDBI Trusteeship,0.9052,2025-01-14,2025-02-14,MCLR Linked,6.23,3.16,9.39,0.9965,8.4636,7278,131.69,124.32,AAA(SO),AAA(SO),0.0769,0.0,Senior,First Loss Guarantee,10.13,0.05,24,3,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.13,0.13,0.34,0.26,0.26,0.15,0.33
D0075,,RBL-Gold-D0075,Active,FY25,FY25 Q3,IIFL Finance Limited,DA,Gold,NPSL,RBL Bank,Axis Trustee,Catalyst Trusteeship,0.8848,2024-10-15,2024-11-15,MCLR Linked,7.84,2.91,10.75,1.7683,9.6326,2550,108.25,104.92,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,9,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.11,0.14,0.26,0.16,0.33,0.06,0.27
D0076,,Aditya-MFI-D0076,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,MFI,NPSL,Aditya Birla Capital Limited,IDBI Trusteeship,IDBI Trusteeship,0.9315,2024-07-06,2024-08-06,MCLR Linked,7.36,2.28,9.64,1.9457,8.6346,16447,207.56,197.1,AA+(SO),AA+(SO),0.0,0.0555,Senior,Overcollateralization,11.52,0.05,19,8,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.21,0.21,0.49,0.34,0.75,0.21,0.52
D0077,,Punjab-BL-D0077,Closed,FY25,FY25 Q3,IIFL Finance Limited,PTC,BL,NPSL,Punjab and Sind Bank,Catalyst Trusteeship,IDBI Trusteeship,0.8798,2024-11-10,2024-12-10,Fixed,7.93,2.08,10.01,1.999,9.0603,16730,204.49,199.19,AAA(SO),AAA(SO),0.0,0.0091,Senior,Overcollateralization,1.86,0.1,24,14,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.2,0.17,0.54,0.34,0.81,0.26,0.51
D0078,,Bandhan-SME-D0078,Active,FY26,FY26 Q4,IIFL Finance Limited,PTC,SME,PSL,Bandhan Bank,IDBI Trusteeship,Axis Trustee,0.9419,2026-02-12,2026-03-12,Fixed,10.15,2.72,12.87,1.9887,11.503,7270,70.6,65.64,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,4.02,0.05,33,14,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.07,0.04,0.19,0.1,0.23,0.09,0.18
D0079,,Bank-LAP-D0079,Active,FY25,FY25 Q3,IIFL Finance Limited,DA,LAP,PSL,Bank of Maharashtra,Axis Trustee,IDBI Trusteeship,0.9468,2024-12-21,2025-01-21,MCLR Linked,8.26,2.77,11.03,1.7373,10.0353,23264,149.96,145.83,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,41,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.15,0.12,0.24,0.27,0.27,0.2,0.37
D0080,,Bandhan-HCF-D0080,Active,FY25,FY25 Q2,IIFL Samasta Finance,DA,HCF,PSL,Bandhan Bank,Catalyst Trusteeship,Axis Trustee,0.9126,2024-07-21,2024-08-21,MCLR Linked,9.32,1.75,11.07,1.589,9.8148,14518,162.83,149.81,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,65,11,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.15,0.19,0.19,0.33,0.09,0.41
D0081,,DCB-BL-D0081,Closed,FY25,FY25 Q1,IIFL Finance Limited,PTC,BL,NPSL,DCB Bank,Vistra ITCL,IDBI Trusteeship,0.9128,2024-04-23,2024-05-23,MCLR Linked,6.32,3.22,9.54,0.7271,8.6283,3427,175.03,163.83,AA(SO),AA(SO),0.0,0.0,Senior,Cash Collateral,8.59,0.1,13,3,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.18,0.21,0.48,0.2,0.31,0.22,0.44
D0082,,Federal-MFI-D0082,Closed,FY25,FY25 Q2,IIFL Finance Limited,DA,MFI,NPSL,Federal Bank,Axis Trustee,Catalyst Trusteeship,0.8741,2024-08-08,2024-09-08,Fixed,6.77,2.61,9.38,1.4571,8.809,22074,275.95,267.21,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,16,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.28,0.38,0.28,0.43,0.63,0.24,0.69
D0083,,UCO-MFI-D0083,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,MFI,PSL,UCO Bank,Vistra ITCL,Catalyst Trusteeship,0.881,2026-04-16,2026-05-16,MCLR Linked,10.26,3.04,13.3,1.267,12.5968,7569,211.77,195.03,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,20,9,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.21,0.28,0.44,0.34,0.65,0.28,0.53
D0084,,RBL-MFI-D0084,Closed,FY25,FY25 Q3,IIFL Finance Limited,PTC,MFI,PSL,RBL Bank,Catalyst Trusteeship,Vistra ITCL,0.9307,2024-11-02,2024-12-02,MCLR Linked,11.43,1.73,13.16,0.908,12.5961,24769,118.61,115.28,AA+(SO),AA+(SO),0.0,0.0,Senior,Cash Collateral,9.22,0.05,23,8,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.12,0.14,0.26,0.13,0.31,0.1,0.3
D0085,,Bank-BL-D0085,Closed,FY25,FY25 Q3,IIFL Finance Limited,DA,BL,PSL,Bank of Maharashtra,Vistra ITCL,IDBI Trusteeship,0.8916,2024-12-25,2025-01-25,MCLR Linked,8.63,2.95,11.58,1.5804,10.8087,902,263.16,242.15,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.1,12,14,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.26,0.15,0.46,0.46,0.99,0.18,0.66
D0086,,Aditya-LAP-D0086,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,LAP,PSL,Aditya Birla Capital Limited,IDBI Trusteeship,Vistra ITCL,0.9136,2025-01-25,2025-02-25,MCLR Linked,7.86,2.61,10.47,1.5402,9.9604,10458,138.59,130.33,AA(SO),AA(SO),0.0,0.0194,Senior,Overcollateralization,2.69,0.1,70,9,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.14,0.12,0.35,0.22,0.46,0.11,0.35
D0087,,Karur-BL-D0087,Active,FY25,FY25 Q1,IIFL Finance Limited,PTC,BL,NPSL,Karur Vysya Bank,Vistra ITCL,Axis Trustee,0.8772,2024-05-05,2024-06-05,Fixed,6.08,3.34,9.42,0.612,8.7173,3282,249.78,236.31,A+(SO),A+(SO),0.0,0.0404,Senior,Overcollateralization,10.09,0.05,16,8,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.25,0.32,0.54,0.31,0.48,0.24,0.62
D0088,,UCO-Gold-D0088,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,Gold,NPSL,UCO Bank,Vistra ITCL,IDBI Trusteeship,0.8531,2026-04-07,2026-05-07,MCLR Linked,8.6,2.43,11.03,1.1066,10.0778,10468,45.29,44.23,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,6,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.06,0.07,0.08,0.16,0.03,0.11
D0089,,AU-Gold-D0089,Closed,FY25,FY25 Q3,IIFL Finance Limited,PTC,Gold,NPSL,AU Small Finance Bank,Catalyst Trusteeship,Axis Trustee,0.9183,2024-11-05,2024-12-05,MCLR Linked,7.93,2.87,10.8,0.7592,10.0853,2957,210.08,197.08,A+(SO),A+(SO),0.0,0.0,Senior,Cash Collateral,15.21,0.1,9,12,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.21,0.14,0.33,0.49,0.33,0.24,0.53
D0090,,South-HCF-D0090,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,HCF,NPSL,South Indian Bank,Vistra ITCL,IDBI Trusteeship,0.8526,2025-09-16,2025-10-16,MCLR Linked,7.21,2.06,9.27,1.3957,8.7407,17729,155.44,150.0,Unrated,Unrated,0.0,0.0,Senior,None,0.0,0.1,82,11,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.16,0.2,0.24,0.34,0.42,0.13,0.39
D0091,,Aditya-SME-D0091,Active,FY25,FY25 Q3,IIFL Finance Limited,PTC,SME,PSL,Aditya Birla Capital Limited,Axis Trustee,Vistra ITCL,0.8676,2024-11-09,2024-12-09,MCLR Linked,9.59,2.97,12.56,0.5569,12.0038,13227,207.86,205.53,AA+(SO),AA+(SO),0.0,0.0671,Senior,Overcollateralization,13.95,0.1,42,17,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.21,0.23,0.22,0.36,0.48,0.23,0.52
D0092,,RBL-MFI-D0092,Active,FY27,FY27 Q1,IIFL Finance Limited,PTC,MFI,NPSL,RBL Bank,Vistra ITCL,IDBI Trusteeship,0.9207,2026-05-28,2026-06-28,MCLR Linked,11.29,1.62,12.91,1.343,11.5204,4134,211.51,208.17,AAA(SO),AAA(SO),0.0,0.0,Senior,None,0.0,0.05,16,5,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.21,0.24,0.36,0.42,0.75,0.19,0.53
D0093,,Bank-SME-D0093,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,SME,NPSL,Bank of Maharashtra,Axis Trustee,Catalyst Trusteeship,0.8765,2026-02-19,2026-03-19,MCLR Linked,7.27,3.49,10.76,0.8743,10.1922,20533,76.0,71.61,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,31,11,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.08,0.06,0.09,0.08,0.19,0.09,0.19
D0094,,Central-LAP-D0094,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,LAP,NPSL,Central Bank of India,IDBI Trusteeship,Axis Trustee,0.8657,2025-03-18,2025-04-18,MCLR Linked,9.65,3.08,12.73,0.6519,12.0244,1594,69.49,64.29,AAA(SO),AAA(SO),0.0,0.0,Senior,Cash Collateral,3.39,0.1,41,15,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.07,0.05,0.17,0.14,0.23,0.05,0.17
D0095,,Karur-MFI-D0095,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,MFI,NPSL,Karur Vysya Bank,Axis Trustee,Axis Trustee,0.8989,2025-04-19,2025-05-19,MCLR Linked,8.99,2.48,11.47,1.4916,10.8789,10151,135.88,129.08,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,14,4,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.14,0.14,0.19,0.32,0.33,0.13,0.34
D0096,,Central-LAP-D0096,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,LAP,PSL,Central Bank of India,Axis Trustee,Vistra ITCL,0.8579,2026-06-09,2026-07-09,MCLR Linked,9.74,1.8,11.54,1.8542,10.3257,18242,43.71,41.27,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,69,14,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.04,0.04,0.12,0.1,0.14,0.05,0.11
D0097,,Bank-LAP-D0097,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,LAP,PSL,Bank of Maharashtra,Axis Trustee,IDBI Trusteeship,0.8648,2024-09-07,2024-10-07,Fixed,7.22,2.35,9.57,1.3819,8.3116,5345,82.64,80.79,AAA(SO),AAA(SO),0.0,0.0206,Senior,Overcollateralization,1.7,0.05,65,0,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.08,0.12,0.24,0.15,0.14,0.06,0.21
D0098,,South-LAP-D0098,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,LAP,NPSL,South Indian Bank,Vistra ITCL,Axis Trustee,0.9358,2025-07-19,2025-08-19,Fixed,10.17,1.57,11.74,1.5273,10.2675,22808,150.0,144.49,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.1,66,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.15,0.11,0.24,0.32,0.52,0.12,0.38
D0099,,DCB-BL-D0099,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,PSL,DCB Bank,Catalyst Trusteeship,IDBI Trusteeship,0.8533,2025-06-07,2025-07-07,Fixed,10.8,2.31,13.11,0.5758,12.2496,2341,269.43,264.23,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.1,24,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.27,0.19,0.47,0.46,0.67,0.38,0.67
D0100,,IDBI-SME-D0100,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,SME,PSL,IDBI Bank,Catalyst Trusteeship,Axis Trustee,0.9412,2025-06-06,2025-07-06,Fixed,10.87,2.45,13.32,1.4711,12.2189,8975,130.32,127.54,AA(SO),AA(SO),0.0,0.0,Senior,Cash Collateral,9.47,0.1,31,16,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.13,0.07,0.2,0.29,0.29,0.19,0.33
D0101,,Federal-LAP-D0101,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,LAP,NPSL,Federal Bank,Vistra ITCL,Vistra ITCL,0.9156,2025-06-09,2025-07-09,Fixed,7.88,2.1,9.98,1.9283,8.8285,22204,210.8,194.04,Unrated,Unrated,0.0,0.0,,None,0.0,0.1,55,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.21,0.15,0.43,0.29,0.35,0.29,0.53
D0102,,IDBI-HCF-D0102,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,HCF,NPSL,IDBI Bank,IDBI Trusteeship,IDBI Trusteeship,0.8794,2026-03-01,2026-04-01,Fixed,8.46,3.49,11.95,1.2062,10.7091,24641,318.82,302.34,Unrated,Unrated,0.0,0.0,,None,0.0,0.1,62,16,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.32,0.39,0.68,0.76,1.23,0.45,0.8
D0103,,IDBI-SME-D0103,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,SME,PSL,IDBI Bank,IDBI Trusteeship,Vistra ITCL,0.8909,2025-01-14,2025-02-14,Fixed,8.47,2.02,10.49,1.3541,9.0834,2258,170.36,158.14,Unrated,Unrated,0.108,0.0,Senior,First Loss Guarantee,18.4,0.05,40,6,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.17,0.16,0.28,0.35,0.59,0.17,0.43
D0104,,DCB-MFI-D0104,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,MFI,PSL,DCB Bank,Catalyst Trusteeship,IDBI Trusteeship,0.8726,2025-06-09,2025-07-09,MCLR Linked,6.89,3.05,9.94,1.8155,9.1279,3384,179.01,174.26,A+(SO),A+(SO),0.0,0.0,Senior,None,0.0,0.05,15,3,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.18,0.11,0.36,0.26,0.3,0.1,0.45
D0105,,RBL-LAP-D0105,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,LAP,PSL,RBL Bank,Vistra ITCL,Catalyst Trusteeship,0.8875,2025-08-11,2025-09-11,MCLR Linked,8.08,2.87,10.95,1.4605,9.6788,12271,129.82,127.63,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,44,6,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.13,0.15,0.28,0.14,0.23,0.17,0.32
D0106,,Aditya-HCF-D0106,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,HCF,PSL,Aditya Birla Capital Limited,Axis Trustee,IDBI Trusteeship,0.9109,2025-04-04,2025-05-04,MCLR Linked,9.01,2.45,11.46,1.6669,10.1285,804,83.84,81.16,Unrated,Unrated,0.0,0.0529,Senior,Overcollateralization,4.44,0.05,54,15,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.08,0.12,0.14,0.14,0.16,0.09,0.21
